PacketCounter,SampleTimeFine,_Quat_W,_Quat_X,_Quat_Y,_Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
1266,1155925976,0.164479136,0.340428829,-0.079421759,0.922359586,17.69456482,-6.058865547,11.44021797,-85.49073792,287.9952698,-55.99846268,-0.917480469,0.0078125,-0.630371094, 
1267,1155934309,0.170411095,0.3207151,-0.077227294,0.928513885,19.74700356,-2.115806103,4.347002029,-36.53465652,289.6132202,-50.91347504,-0.8984375,-0.000976563,-0.66796875, 
1268,1155942642,0.174155787,0.2990942,-0.075833805,0.935126603,14.49512768,3.565444708,-0.83346349,-41.11283112,311.916626,-16.34336281,-0.878417969,-0.014648438,-0.678222656, 
1269,1155950975,0.176939204,0.279163361,-0.076638632,0.940684259,7.290543556,3.37887001,-3.701952696,-62.46576309,279.4456787,0.765280545,-0.860351563,-0.018554688,-0.712890625, 
1270,1155959308,0.179035246,0.261782885,-0.079173163,0.945065022,9.928328514,0.516052306,-4.201380253,-77.26587677,237.1499939,10.7499361,-0.838378906,-0.022949219,-0.725585938, 
1271,1155967641,0.179505751,0.244271889,-0.080271646,0.949560702,9.524228096,-2.280083418,-3.613682508,-52.91636658,240.8706665,27.12710953,-0.829589844,-0.024902344,-0.753417969, 
1272,1155975974,0.178727031,0.228250265,-0.079566471,0.953744113,4.829710484,-2.610518932,-1.981143355,-21.86977768,223.6205292,34.96940613,-0.814941406,-0.031738281,-0.764648438, 
1273,1155984307,0.177530631,0.215695292,-0.077871449,0.957023919,2.795771122,-2.590500593,-0.962944806,-0.009195771,177.1125793,31.32275581,-0.800292969,-0.040527344,-0.787109375, 
1274,1155992640,0.176282957,0.206629395,-0.075185962,0.959466517,2.62574625,-2.342377186,-1.151503205,20.78027534,131.2605438,23.29450798,-0.794433594,-0.046875,-0.787109375, 
1275,1156000973,0.174605846,0.201356933,-0.071112275,0.961203218,0.708472431,-1.214016438,-2.92675209,48.80239868,81.93463898,19.36745834,-0.786132813,-0.0625,-0.798828125, 
1276,1156009306,0.172748461,0.199882314,-0.066785045,0.962156296,0.681573272,3.564407825,-3.53367424,60.99421692,30.18754387,15.45873165,-0.785644531,-0.076171875,-0.783691406, 
1277,1156017639,0.171891719,0.201345816,-0.066836894,0.962001145,-1.913678408,2.99932313,-3.204640627,6.27630949,-21.40852547,8.919775963,-0.787109375,-0.084472656,-0.796386719, 
1278,1156025972,0.171130478,0.20700793,-0.067404889,0.960894823,3.055885077,-2.279349327,-5.345746517,8.21996212,-80.52622223,2.963404655,-0.798828125,-0.091308594,-0.78515625, 
1279,1156034305,0.169315383,0.21214439,-0.065354802,0.960237384,6.798995018,-0.855296612,-4.809052944,45.00783539,-67.31014252,10.99290085,-0.812011719,-0.103515625,-0.790039063, 
1280,1156042638,0.167369485,0.216161668,-0.063154474,0.959829926,2.314428091,0.047596503,-2.371248722,44.97167587,-51.37706757,13.85335064,-0.820800781,-0.1171875,-0.776367188, 
1281,1156050971,0.165880293,0.222288966,-0.060978908,0.958829105,-0.216288164,-1.433399796,-1.982735515,47.6501503,-80.84562683,4.718537807,-0.832519531,-0.127929688,-0.781738281, 
1282,1156059304,0.164216831,0.230670393,-0.058136828,0.957311034,1.059438705,-0.025627092,-2.196523905,61.66329575,-110.5676956,1.888487339,-0.849609375,-0.142089844,-0.760253906, 
1283,1156067637,0.162268192,0.240304202,-0.055449415,0.955431163,1.763594151,1.745559931,-2.029954672,63.08653259,-128.9883881,4.333917141,-0.862792969,-0.158203125,-0.760253906, 
1284,1156075970,0.160264954,0.250834554,-0.053569105,0.95316714,2.720745802,2.893596649,-1.629349589,54.36460495,-143.6781464,6.167114258,-0.877441406,-0.175292969,-0.734375, 
1285,1156084303,0.158408746,0.261714518,-0.052671127,0.950598776,2.972901821,2.777151346,-1.167454004,41.53260422,-151.5685272,6.711114883,-0.899414063,-0.186035156,-0.735351563, 
1286,1156092636,0.156861573,0.273350507,-0.05238051,0.947591901,2.251182079,2.1179142,-0.847947061,33.79865265,-163.927475,3.347824812,-0.922363281,-0.198730469,-0.709960938, 
1287,1156100969,0.155788019,0.286112905,-0.052682649,0.943977952,2.453649282,2.175045252,-0.752214015,26.29932976,-182.0285797,-2.71018219,-0.944335938,-0.21484375,-0.708984375, 
1288,1156109302,0.155094266,0.299735069,-0.053784709,0.939793587,3.425020695,2.327471733,-0.781456649,15.828475,-196.6680145,-6.342161179,-0.962402344,-0.229980469,-0.677246094, 
1289,1156117635,0.154635787,0.313742697,-0.055658445,0.935176671,4.001035213,2.235798597,-0.511301816,5.407671928,-205.1117706,-7.405976772,-0.992675781,-0.2421875,-0.676269531, 
1290,1156125968,0.154581457,0.328257293,-0.058249891,0.930031657,4.115674019,1.728858471,-0.159452572,-4.918082237,-214.9170074,-11.02135849,-1.013183594,-0.257324219,-0.643554688, 
1291,1156134301,0.154914558,0.343378961,-0.061344508,0.924299419,4.568118572,1.104098201,-0.056642234,-12.25550842,-226.3029327,-15.4368906,-1.041992188,-0.268066406,-0.640136719, 
1292,1156142634,0.155317545,0.359140545,-0.064731635,0.917989433,5.50473547,1.178043604,-0.0577829,-15.46527863,-237.5174561,-16.71531487,-1.059570313,-0.288574219,-0.601074219, 
1293,1156150967,0.155622333,0.375190467,-0.068565108,0.911215067,6.704940796,1.771528244,0.205625474,-20.37591553,-244.7056885,-14.51878166,-1.095703125,-0.306152344,-0.586914063, 
