PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2897,1234922816,0.052163698,0.640218377,-0.016144009,0.766250014,9.168527603,0.088417061,2.154769897,-8.476853371,15.29898834,-0.916733623,-1.318359375,-0.676757813,-0.072753906
2898,1234931149,0.052530855,0.639344394,-0.016678436,0.766942859,9.802488327,0.289393187,2.075988293,-8.058931351,14.29852104,0.676331282,-1.34375,-0.659667969,-0.103515625
2899,1234939482,0.052794814,0.638409913,-0.017323077,0.767688751,9.959938049,-0.231508717,2.127521753,-8.22268486,14.92036057,2.683873177,-1.299804688,-0.64453125,-0.102050781
2900,1234947815,0.052923732,0.637491167,-0.017946515,0.768428683,10.14715195,0.295455843,2.285436153,-6.925398827,15.06328392,4.017298698,-1.330566406,-0.629882813,-0.131347656
2901,1234956148,0.053018119,0.636561215,-0.018695615,0.769174755,10.05904865,0.285542876,2.560553551,-7.831272125,14.77002811,5.386379719,-1.293457031,-0.615722656,-0.127441406
2902,1234964481,0.053180352,0.635730684,-0.019473854,0.769830942,9.99070549,-0.314534634,2.162006855,-8.810019493,13.29303741,4.938413143,-1.317382813,-0.596191406,-0.154296875
2903,1234972814,0.053385712,0.634866953,-0.020215064,0.770510018,9.561225891,-0.464577645,1.729677558,-8.690297127,13.52758408,4.082077503,-1.284667969,-0.581054688,-0.147460938
2904,1234981147,0.053583242,0.634016216,-0.020825073,0.771180332,9.163640976,-0.338932514,2.05089736,-7.347751141,13.76551533,3.109632492,-1.314453125,-0.562011719,-0.177734375
2905,1234989480,0.053859696,0.63323319,-0.021460636,0.77178669,8.956716537,-0.637035072,1.801072478,-8.154114723,12.14825916,2.327707052,-1.283691406,-0.546386719,-0.174316406
2906,1234997813,0.054092683,0.632442772,-0.022028983,0.772402406,9.408198357,-0.428106874,2.449851036,-7.185869694,12.6904068,2.314617634,-1.307617188,-0.527832031,-0.206054688
2907,1235006146,0.054289199,0.631730199,-0.02258228,0.772955418,9.388114929,-0.422365695,2.439616442,-6.545462608,10.98429489,2.399298668,-1.282226563,-0.514160156,-0.200195313
2908,1235014479,0.054437838,0.631050527,-0.02309737,0.773484826,9.869935036,0.076893054,2.354706287,-5.830850601,10.77530861,2.650317907,-1.3046875,-0.493652344,-0.232421875
2909,1235022812,0.054586388,0.630334616,-0.023722282,0.77403897,9.812083244,0.170383379,2.528261662,-6.894635677,10.97497082,3.528450727,-1.274902344,-0.479003906,-0.226074219
2910,1235031145,0.054771774,0.629651368,-0.024365919,0.774561703,9.95686245,0.186607778,2.297657251,-7.521517754,10.671134,3.370410919,-1.295898438,-0.456542969,-0.264160156
2911,1235039478,0.054941993,0.628829002,-0.025098449,0.775194168,9.838188171,-0.252396703,2.84760046,-8.283260345,12.72127438,4.330458641,-1.269042969,-0.443847656,-0.2578125
2912,1235047811,0.055218205,0.62812078,-0.02580573,0.775725365,9.641160011,-0.618525684,1.971659422,-9.00058651,10.99638367,2.96544981,-1.28125,-0.420898438,-0.29296875
2913,1235056144,0.055456758,0.627252877,-0.026472118,0.776387811,9.798811913,-0.200321361,2.575279474,-8.208735466,13.54813766,3.067689419,-1.251464844,-0.404296875,-0.2890625
2914,1235064477,0.055735048,0.626395404,-0.027144039,0.777036548,9.302264214,-0.3602373,2.522104502,-8.712737083,13.62942791,2.779695988,-1.259765625,-0.383789063,-0.322265625
2915,1235072810,0.056070492,0.625604272,-0.027854227,0.777624488,9.6789608,-0.112043247,1.956075907,-9.470326424,12.09828377,2.325504065,-1.232421875,-0.3671875,-0.315917969
2916,1235081143,0.056283474,0.624661803,-0.028557111,0.778340936,9.547164917,-0.018154625,2.46795249,-8.5221138,15.07463264,3.831083536,-1.235351563,-0.349121094,-0.350097656
2917,1235089476,0.056546584,0.623792291,-0.029321704,0.778990507,9.588960648,0.468134433,1.987699032,-9.491457939,13.40563488,3.639821529,-1.202636719,-0.328125,-0.342285156
2918,1235097809,0.056752831,0.622830689,-0.030266995,0.779708445,9.93607235,0.705716133,2.367820024,-11.07526493,15.09702015,5.994667053,-1.20703125,-0.30859375,-0.3671875
2919,1235106142,0.056910135,0.621803105,-0.031396624,0.780472279,9.878264427,0.801354468,2.784036636,-12.54898071,15.7640934,8.063221931,-1.183105469,-0.289550781,-0.363769531
2920,1235114475,0.057100259,0.620686829,-0.032750692,0.78129077,9.993425369,0.564883113,2.958925724,-15.40043736,17.29382896,9.808988571,-1.178222656,-0.270507813,-0.384277344
2921,1235122808,0.057307944,0.619486988,-0.034297176,0.782161057,10.00468349,0.187785745,2.98642993,-17.56102753,18.22578239,11.2507906,-1.151367188,-0.251464844,-0.373535156
2922,1235131141,0.057586826,0.618299305,-0.03593576,0.78300631,9.932761192,-0.180219859,1.839735746,-19.25943375,18.10614014,11.33475494,-1.15234375,-0.232910156,-0.395507813
2923,1235139474,0.05781411,0.616868079,-0.037512049,0.78404367,10.49457836,-0.038388841,2.623101234,-18.13381767,22.12970352,11.54878902,-1.127929688,-0.214355469,-0.381347656
2924,1235147807,0.058106273,0.615308523,-0.039107222,0.785168827,9.808296204,-0.449291289,2.580060959,-19.05788231,24.53368378,11.22904873,-1.126953125,-0.193359375,-0.397460938
2925,1235156140,0.058541376,0.613765657,-0.04065289,0.786264896,10.38053799,-0.103828825,1.798557281,-19.65945625,23.97521591,9.148248672,-1.102539063,-0.173339844,-0.385742188
2926,1235164473,0.05887695,0.611981034,-0.04210915,0.787553132,10.24615479,-0.411498576,2.743600368,-18.01561546,28.47480011,9.846494675,-1.102050781,-0.154785156,-0.401367188
2927,1235172806,0.059310846,0.610160708,-0.043512248,0.788855493,10.30986691,-0.806980908,2.338767529,-18.18005562,28.84525871,8.28438282,-1.082519531,-0.135253906,-0.388671875
2928,1235181139,0.059749119,0.608304381,-0.044822227,0.790181696,10.47081852,-0.526379168,2.016120672,-17.32914734,29.74920654,7.578451633,-1.081542969,-0.119628906,-0.400878906
2929,1235189472,0.060138348,0.606227636,-0.046004467,0.791678965,10.58667278,-0.665715933,3.07937479,-15.53049469,33.42788696,7.226541042,-1.060546875,-0.103027344,-0.389160156
2930,1235197805,0.061119899,0.604067862,-0.045752764,0.793267727,12.7484417,-1.823622108,2.373775959,-4.944782734,36.87866974,-10.95632362,-1.066894531,-0.083496094,-0.401367188
2931,1235206138,0.063792013,0.601055801,-0.042282097,0.795534492,5.630981445,10.3526144,4.329677582,15.93195248,55.36267471,-55.11958313,-1.041992188,-0.077148438,-0.388671875
2932,1235214471,0.066439055,0.599303365,-0.044547029,0.796515822,15.72842693,-2.845216513,1.026441336,-46.34530258,26.12477684,-9.207853317,-1.043945313,-0.060058594,-0.398925781
2933,1235222804,0.06724596,0.596154213,-0.044416793,0.79881531,8.242433548,-1.158405423,3.701469898,-5.343629837,53.13747406,-6.792323589,-1.026855469,-0.044921875,-0.387207031
2934,1235231137,0.068677142,0.593421876,-0.045062892,0.800689638,12.29337978,-0.359700024,2.936039448,-18.93379974,44.94825363,-7.873141289,-1.030761719,-0.026855469,-0.396972656
2935,1235239470,0.069166258,0.59008503,-0.046409555,0.803033173,9.890727997,-1.707066298,2.256994724,-19.164011,53.99282074,8.963995934,-1.016113281,-0.013183594,-0.387207031
2936,1235247803,0.069719777,0.586799979,-0.047309265,0.805336714,10.72673798,-3.398705244,2.84583497,-14.8042717,53.75712967,4.624469757,-1.018066406,0.005371094,-0.397949219
2937,1235256136,0.069656134,0.583286047,-0.048014179,0.807849288,10.53322792,-3.573052406,2.642284393,-7.653838158,57.58234024,10.16743469,-1.001953125,0.017578125,-0.389648438
2938,1235264469,0.069330364,0.579728007,-0.048287176,0.810418069,10.51271343,-3.835108519,3.902015209,-0.853340924,58.94600677,9.768826485,-1.011230469,0.034667969,-0.399414063
2939,1235272802,0.068700247,0.575959504,-0.048235141,0.81315732,11.08518887,-4.177593231,3.592095137,5.203806877,62.58266068,10.77930355,-0.99609375,0.050292969,-0.390136719
2940,1235281135,0.067692854,0.57215482,-0.047917996,0.81594187,11.02082062,-3.251847744,2.538055182,11.05590153,63.51975632,13.05612469,-1,0.065917969,-0.402832031
2941,1235289468,0.066437259,0.568039358,-0.047291469,0.818951488,11.26501942,-2.073415279,3.39634943,16.45121384,68.73804474,13.71201515,-0.985839844,0.079101563,-0.394042969
2942,1235297801,0.065163285,0.563716412,-0.046530969,0.822078526,11.14691162,-1.388809204,2.966448069,17.87937737,72.26815796,13.22437572,-0.982910156,0.092285156,-0.410644531
2943,1235306134,0.063912682,0.559256136,-0.045736462,0.825261235,11.30455494,-0.740638077,2.881622076,18.1051712,74.14008331,12.71375656,-0.973632813,0.100097656,-0.403808594
2944,1235314467,0.062629707,0.554492116,-0.044858105,0.828615725,11.56113243,-0.358764499,3.771317244,19.03691101,79.11930084,12.89772892,-0.977539063,0.117675781,-0.420410156
2945,1235322800,0.061431341,0.549404025,-0.044028621,0.832131922,11.8689785,0.091613017,4.020596027,17.7752552,83.91314697,12.53085995,-0.962402344,0.121582031,-0.414550781
2946,1235331133,0.060421534,0.54414922,-0.043273211,0.835690856,11.69767284,0.646671295,3.644918919,15.26676559,86.33728027,11.18359852,-0.96484375,0.139648438,-0.429199219
2947,1235339466,0.059554763,0.538498342,-0.042634591,0.839437604,12.14400673,0.417295724,3.920579433,12.76668072,92.14933777,10.70044136,-0.94921875,0.143066406,-0.422363281
2948,1235347799,0.058914967,0.532508016,-0.042057201,0.843324244,12.29528522,-0.580164671,2.65908742,10.05486298,97.32025909,8.953774452,-0.955566406,0.15234375,-0.440917969
2949,1235356132,0.058231641,0.526264906,-0.041274235,0.847319961,12.66015816,-1.24485147,2.315908909,12.72835445,101.0727615,8.091752052,-0.931152344,0.159179688,-0.434570313
2950,1235364465,0.057214022,0.51972729,-0.040365152,0.851458251,14.24641895,-0.645035923,4.738328457,16.35002899,105.567215,11.45133114,-0.935058594,0.170410156,-0.455566406
2951,1235372798,0.05618472,0.512494802,-0.039531231,0.855938137,14.39256668,-0.017931582,3.766922712,15.30083466,115.9824982,12.68105602,-0.916503906,0.174804688,-0.447753906
2952,1235381131,0.05561243,0.505022824,-0.038597673,0.860447526,13.68925571,1.217517972,1.834457278,12.97873306,119.4328156,6.851447582,-0.920898438,0.185058594,-0.461914063
2953,1235389464,0.055550985,0.496904612,-0.037667498,0.865206122,14.76505375,0.262283176,4.240736485,9.130444527,129.0023041,1.26824367,-0.905761719,0.181640625,-0.462890625
2954,1235397797,0.055869285,0.488057584,-0.036734462,0.870246887,16.48792267,0.171613663,3.767582893,6.057333469,139.8769989,-2.581049919,-0.903320313,0.184082031,-0.48046875
2955,1235406130,0.056828283,0.478222728,-0.035781831,0.875667512,17.33948898,2.244014502,2.747530699,1.535746932,154.546524,-9.674933434,-0.887207031,0.185058594,-0.478027344
2956,1235414463,0.058940701,0.467233747,-0.034998026,0.881472647,17.14656258,3.013503075,3.055806637,-8.905638695,171.4507904,-21.49949074,-0.884765625,0.183105469,-0.496582031
2957,1235422796,0.062401406,0.455416173,-0.034286086,0.887427211,18.26141548,3.774907112,2.143177509,-18.95598984,183.049881,-36.93376923,-0.868164063,0.175292969,-0.495605469
2958,1235431129,0.067167707,0.442682326,-0.033836149,0.893519104,19.13656425,4.546778679,1.495913744,-31.13657951,195.4782104,-50.6047554,-0.861328125,0.174316406,-0.520507813
